input,context,serious,length,output
Skipped online lecture,school,True,short,I was affected by an unforeseen obligation this morning.
Late for math class,school,True,short,I was affected by an unforeseen obligation this morning.
Late for math class,school,True,short,An unexpected situation delayed my arrival.
Missed exam,school,True,short,I was affected by an unforeseen obligation this morning.
Missed exam,school,True,short,An unexpected situation delayed my arrival.
Forgot homework submission,school,True,short,An unexpected situation delayed my arrival.
Forgot homework submission,school,True,short,An unexpected situation delayed my arrival.
Forgot homework submission,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Missed presentation slot,school,True,short,An unexpected situation delayed my arrival.
Missed exam,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Missed group project meeting,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Late for math class,school,True,short,An unexpected situation delayed my arrival.
Late assignment upload,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Arrived late to lab,school,True,short,An unexpected situation delayed my arrival.
Missed group project meeting,school,True,short,An unexpected situation delayed my arrival.
Arrived late to lab,school,True,short,I was affected by an unforeseen obligation this morning.
Late assignment upload,school,True,short,An unexpected situation delayed my arrival.
Arrived late to lab,school,True,short,I was affected by an unforeseen obligation this morning.
Forgot homework submission,school,True,short,I was affected by an unforeseen obligation this morning.
Arrived late to lab,school,True,short,I was affected by an unforeseen obligation this morning.
Missed group project meeting,school,True,short,I was affected by an unforeseen obligation this morning.
Arrived late to lab,school,True,short,I was affected by an unforeseen obligation this morning.
Late assignment upload,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Missed presentation slot,school,True,short,I was affected by an unforeseen obligation this morning.
Missed presentation slot,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Arrived late to lab,school,True,short,I was affected by an unforeseen obligation this morning.
Forgot homework submission,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Late assignment upload,school,True,short,An unexpected situation delayed my arrival.
Forgot homework submission,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Missed group project meeting,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Late for math class,school,True,short,An unexpected situation delayed my arrival.
Skipped online lecture,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Late for math class,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Skipped online lecture,school,True,short,An unexpected situation delayed my arrival.
Missed exam,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Missed presentation slot,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Late for math class,school,True,short,I was affected by an unforeseen obligation this morning.
Forgot homework submission,school,True,short,An unexpected situation delayed my arrival.
Arrived late to lab,school,True,short,An unexpected situation delayed my arrival.
Skipped online lecture,school,True,short,An unexpected situation delayed my arrival.
Missed group project meeting,school,True,short,An unexpected situation delayed my arrival.
Arrived late to lab,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Late assignment upload,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Missed group project meeting,school,True,short,An unexpected situation delayed my arrival.
Missed presentation slot,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Missed presentation slot,school,True,short,I was affected by an unforeseen obligation this morning.
Late assignment upload,school,True,short,An unexpected situation delayed my arrival.
Late assignment upload,school,True,short,I was affected by an unforeseen obligation this morning.
Arrived late to lab,school,True,short,I was affected by an unforeseen obligation this morning.
Forgot homework submission,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Arrived late to lab,school,True,short,An unexpected situation delayed my arrival.
Arrived late to lab,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Arrived late to lab,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Missed presentation slot,school,True,short,An unexpected situation delayed my arrival.
Skipped online lecture,school,True,short,I was affected by an unforeseen obligation this morning.
Late for math class,school,True,short,An unexpected situation delayed my arrival.
Late for math class,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Missed exam,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Skipped online lecture,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Arrived late to lab,school,True,short,I was affected by an unforeseen obligation this morning.
Forgot homework submission,school,True,short,I was affected by an unforeseen obligation this morning.
Missed exam,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Arrived late to lab,school,True,short,I was affected by an unforeseen obligation this morning.
Missed group project meeting,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Forgot homework submission,school,True,short,An unexpected situation delayed my arrival.
Missed exam,school,True,short,I was affected by an unforeseen obligation this morning.
Missed exam,school,True,short,An unexpected situation delayed my arrival.
Missed presentation slot,school,True,short,An unexpected situation delayed my arrival.
Missed group project meeting,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Missed group project meeting,school,True,short,I was affected by an unforeseen obligation this morning.
Late assignment upload,school,True,short,An unexpected situation delayed my arrival.
Missed presentation slot,school,True,short,I was affected by an unforeseen obligation this morning.
Late assignment upload,school,True,short,An unexpected situation delayed my arrival.
Late for math class,school,True,short,An unexpected situation delayed my arrival.
Skipped online lecture,school,True,short,I was affected by an unforeseen obligation this morning.
Late for math class,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Skipped online lecture,school,True,short,I was affected by an unforeseen obligation this morning.
Arrived late to lab,school,True,short,I was affected by an unforeseen obligation this morning.
Missed group project meeting,school,True,short,I was affected by an unforeseen obligation this morning.
Skipped online lecture,school,True,short,I was affected by an unforeseen obligation this morning.
Missed group project meeting,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Forgot homework submission,school,True,short,An unexpected situation delayed my arrival.
Skipped online lecture,school,True,short,An unexpected situation delayed my arrival.
Late for math class,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Missed exam,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Missed presentation slot,school,True,short,An unexpected situation delayed my arrival.
Skipped online lecture,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Missed exam,school,True,short,I was affected by an unforeseen obligation this morning.
Late assignment upload,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Missed presentation slot,school,True,short,An unexpected situation delayed my arrival.
Late assignment upload,school,True,short,I was affected by an unforeseen obligation this morning.
Missed group project meeting,school,True,short,I was affected by an unforeseen obligation this morning.
Arrived late to lab,school,True,short,An unexpected situation delayed my arrival.
Late assignment upload,school,True,short,An unexpected situation delayed my arrival.
Late for math class,school,True,short,An unexpected situation delayed my arrival.
Missed presentation slot,school,True,short,I was affected by an unforeseen obligation this morning.
Skipped online lecture,school,True,short,An unexpected situation delayed my arrival.
Late for math class,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Missed exam,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Forgot homework submission,school,True,short,I was affected by an unforeseen obligation this morning.
Late assignment upload,school,True,short,I was affected by an unforeseen obligation this morning.
Forgot homework submission,school,True,short,An unexpected situation delayed my arrival.
Missed group project meeting,school,True,short,I was affected by an unforeseen obligation this morning.
Arrived late to lab,school,True,short,I was affected by an unforeseen obligation this morning.
Late for math class,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Missed group project meeting,school,True,short,I was affected by an unforeseen obligation this morning.
Skipped online lecture,school,True,short,I was affected by an unforeseen obligation this morning.
Arrived late to lab,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Late assignment upload,school,True,short,An unexpected situation delayed my arrival.
Arrived late to lab,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Missed presentation slot,school,True,short,I was affected by an unforeseen obligation this morning.
Late assignment upload,school,True,short,I was affected by an unforeseen obligation this morning.
Skipped online lecture,school,True,short,I was affected by an unforeseen obligation this morning.
Arrived late to lab,school,True,short,I was affected by an unforeseen obligation this morning.
Forgot homework submission,school,True,short,An unexpected situation delayed my arrival.
Missed group project meeting,school,True,short,An unexpected situation delayed my arrival.
Forgot homework submission,school,True,short,An unexpected situation delayed my arrival.
Missed group project meeting,school,True,short,An unexpected situation delayed my arrival.
Skipped online lecture,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Skipped online lecture,school,True,short,I was affected by an unforeseen obligation this morning.
Arrived late to lab,school,True,short,An unexpected situation delayed my arrival.
Forgot homework submission,school,True,short,An unexpected situation delayed my arrival.
Arrived late to lab,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Forgot homework submission,school,True,short,I was affected by an unforeseen obligation this morning.
Skipped online lecture,school,True,short,An unexpected situation delayed my arrival.
Arrived late to lab,school,True,short,An unexpected situation delayed my arrival.
Forgot homework submission,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Arrived late to lab,school,True,short,I was affected by an unforeseen obligation this morning.
Missed exam,school,True,short,An unexpected situation delayed my arrival.
Skipped online lecture,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Missed group project meeting,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Late for math class,school,True,short,I was affected by an unforeseen obligation this morning.
Missed exam,school,True,short,I was affected by an unforeseen obligation this morning.
Skipped online lecture,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Missed exam,school,True,short,I was affected by an unforeseen obligation this morning.
Missed presentation slot,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Arrived late to lab,school,True,short,An unexpected situation delayed my arrival.
Late assignment upload,school,True,short,An unexpected situation delayed my arrival.
Late assignment upload,school,True,short,I was affected by an unforeseen obligation this morning.
Late assignment upload,school,True,short,I was affected by an unforeseen obligation this morning.
Missed presentation slot,school,True,short,An unexpected situation delayed my arrival.
Arrived late to lab,school,True,short,An unexpected situation delayed my arrival.
Forgot homework submission,school,True,short,I was affected by an unforeseen obligation this morning.
Forgot homework submission,school,True,short,An unexpected situation delayed my arrival.
Late assignment upload,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Late assignment upload,school,True,short,I was affected by an unforeseen obligation this morning.
Arrived late to lab,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Missed exam,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Arrived late to lab,school,True,short,An unexpected situation delayed my arrival.
Late for math class,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Late assignment upload,school,True,short,An unexpected situation delayed my arrival.
Late assignment upload,school,True,short,I was affected by an unforeseen obligation this morning.
Late assignment upload,school,True,short,An unexpected situation delayed my arrival.
Missed presentation slot,school,True,short,An unexpected situation delayed my arrival.
Skipped online lecture,school,True,short,I was affected by an unforeseen obligation this morning.
Late for math class,school,True,short,I was affected by an unforeseen obligation this morning.
Skipped online lecture,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Late for math class,school,True,short,I was affected by an unforeseen obligation this morning.
Missed group project meeting,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Late assignment upload,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Missed presentation slot,school,True,short,An unexpected situation delayed my arrival.
Late assignment upload,school,True,short,I was affected by an unforeseen obligation this morning.
Skipped online lecture,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Missed group project meeting,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Skipped online lecture,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Forgot homework submission,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Late assignment upload,school,True,short,An unexpected situation delayed my arrival.
Skipped online lecture,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Late for math class,school,True,short,I was affected by an unforeseen obligation this morning.
Forgot homework submission,school,True,short,I was affected by an unforeseen obligation this morning.
Skipped online lecture,school,True,short,An unexpected situation delayed my arrival.
Skipped online lecture,school,True,short,An unexpected situation delayed my arrival.
Late assignment upload,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Forgot homework submission,school,True,short,An unexpected situation delayed my arrival.
Missed group project meeting,school,True,short,I was affected by an unforeseen obligation this morning.
Missed group project meeting,school,True,short,An unexpected situation delayed my arrival.
Late assignment upload,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Arrived late to lab,school,True,short,I was affected by an unforeseen obligation this morning.
Missed group project meeting,school,True,short,An unexpected situation delayed my arrival.
Missed presentation slot,school,True,short,I was affected by an unforeseen obligation this morning.
Skipped online lecture,school,True,short,I was affected by an unforeseen obligation this morning.
Arrived late to lab,school,True,short,An unexpected situation delayed my arrival.
Missed presentation slot,school,True,short,I was affected by an unforeseen obligation this morning.
Forgot homework submission,school,True,short,I was affected by an unforeseen obligation this morning.
Late assignment upload,school,True,short,An unexpected situation delayed my arrival.
Arrived late to lab,school,True,short,An unexpected situation delayed my arrival.
Missed exam,school,True,short,An unexpected situation delayed my arrival.
Arrived late to lab,school,True,short,An unexpected situation delayed my arrival.
Arrived late to lab,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Late for math class,school,True,short,An unexpected situation delayed my arrival.
Late assignment upload,school,True,short,An unexpected situation delayed my arrival.
Missed group project meeting,school,True,short,An unexpected situation delayed my arrival.
Skipped online lecture,school,True,short,An unexpected situation delayed my arrival.
Missed exam,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Late assignment upload,school,True,short,I was affected by an unforeseen obligation this morning.
Missed exam,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Late for math class,school,True,short,An unexpected situation delayed my arrival.
Skipped online lecture,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Missed presentation slot,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Late for math class,school,True,short,I was affected by an unforeseen obligation this morning.
Skipped online lecture,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Arrived late to lab,school,True,short,An unexpected situation delayed my arrival.
Late for math class,school,True,short,I was affected by an unforeseen obligation this morning.
Missed group project meeting,school,True,short,I was affected by an unforeseen obligation this morning.
Missed presentation slot,school,True,short,An unexpected situation delayed my arrival.
Forgot homework submission,school,True,short,I was affected by an unforeseen obligation this morning.
Arrived late to lab,school,True,short,An unexpected situation delayed my arrival.
Late assignment upload,school,True,short,I was affected by an unforeseen obligation this morning.
Missed group project meeting,school,True,short,An unexpected situation delayed my arrival.
Late for math class,school,True,short,An unexpected situation delayed my arrival.
Late for math class,school,True,short,An unexpected situation delayed my arrival.
Missed presentation slot,school,True,short,I was affected by an unforeseen obligation this morning.
Skipped online lecture,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Late for math class,school,True,short,I was affected by an unforeseen obligation this morning.
Late assignment upload,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Late assignment upload,school,True,short,I was affected by an unforeseen obligation this morning.
Missed group project meeting,school,True,short,I was affected by an unforeseen obligation this morning.
Arrived late to lab,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Arrived late to lab,school,True,short,An unexpected situation delayed my arrival.
Arrived late to lab,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Missed exam,school,True,short,I was affected by an unforeseen obligation this morning.
Late for math class,school,True,short,I experienced a personal matter that interfered with my academic schedule.
Missed group project meeting,school,True,short,I was affected by an unforeseen obligation this morning.
Late for math class,school,True,short,An unexpected situation delayed my arrival.
